age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor_3m,nr_employed,y,date,latitude,longitude,id,default_str,housing_str,loan_str,contact_month,contact_year,pdays_clean,pdays_label
38.0,housemaid,married,basic_4y,False,False,False,telephone,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-08-02,41.495,-71.233,089b39d8_e4d0_461b_87d4_814d71e0e079,no,no,no,august,2019.0,,sin contacto previo
57.0,services,married,high_school,unknown,False,False,telephone,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-14,34.601,-83.923,e9d37224_cb6f_4942_98d7_46672963d097,,no,no,september,2016.0,,sin contacto previo
37.0,services,married,high_school,False,True,False,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-02-15,34.939,-94.847,3f9f49b5_e410_4948_bf6e_f9244f04918b,no,yes,no,february,2019.0,,sin contacto previo
40.0,admin_,married,basic_6y,False,False,False,telephone,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-11-29,49.041,-70.308,9991fafb_4447_451a_8be2_b0df6098d13e,no,no,no,november,2015.0,,sin contacto previo
56.0,services,married,high_school,False,False,True,telephone,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-01-29,38.033,-104.463,eca60b76_70b6_4077_80ba_bc52e8ebb0eb,no,no,yes,january,2017.0,,sin contacto previo
45.0,services,married,basic_9y,unknown,False,False,telephone,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-09-26,24.689,-101.643,d63ede72_0b6d_45b1_8872_385ac6897f65,,no,no,september,2015.0,,sin contacto previo
59.0,admin_,married,professional_course,False,False,False,telephone,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-25,31.456,-94.561,5e3483e5_236d_437d_8351_541f9d09b9dd,no,no,no,january,2019.0,,sin contacto previo
38.0,blue_collar,married,unknown,unknown,False,False,telephone,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-25,46.871,-122.235,87fdc08b_30ae_4dab_803f_561ecdf27ff0,,no,no,september,2017.0,,sin contacto previo
24.0,technician,single,professional_course,False,True,False,telephone,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-01-18,44.632,-85.811,87b79988_2be5_419d_88f4_56655852c565,no,yes,no,january,2018.0,,sin contacto previo
25.0,services,single,high_school,False,True,False,telephone,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-11-02,30.297,-117.382,ea6b7d04_9271_4c0a_a01f_07795d164aba,no,yes,no,november,2016.0,,sin contacto previo
41.0,blue_collar,married,unknown,unknown,False,False,telephone,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-11-30,43.616,-90.902,8d700df5_0c33_4517_8cf8_92e1c92c9c12,,no,no,november,2015.0,,sin contacto previo
25.0,services,single,high_school,False,True,False,telephone,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-04-17,49.118,-85.121,ca5c0d7a_8bbd_42b3_8351_1074c5be011a,no,yes,no,april,2016.0,,sin contacto previo
29.0,blue_collar,single,high_school,False,False,True,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-06-14,30.047,-112.472,66a752e2_b2f1_440c_9a8f_cc3b10d74dd0,no,no,yes,june,2016.0,,sin contacto previo
